,Date,Price,NearStat,StatDist(miles),Prop_Type,Bedrooms,Bathrooms,Floor_Size,Outdoor,Portered,Contract_Type,Outcode,Outcode2,Outcode3,Postcode,Centrality,North,Links,Date_Scraped,Avg_price
848,20220630.0,472500.0,Ladbroke Grove Station,0.1,Flat,,,376.0,0.0,0.0,Leasehold,W11,W11,W111,W111PG,5.717125746549261,1.0,,2022-09-02,197.0
849,20220714.0,700000.0,Kilburn High Road Station,0.1,Flat,3.0,2.0,,0.0,0.0,Freehold,NW6,NW6,NW64,NW64AB,5.519927879987095,1.0,,2022-09-02,97.0
850,20220801.0,750000.0,Westbourne Park Station,0.3,Flat,1.0,1.0,,0.0,0.0,Leasehold,W11,W11,W111,W111JG,5.30328969968842,1.0,,2022-09-02,197.0
851,20220615.0,450000.0,Caledonian Road Station,0.3,Flat,1.0,1.0,,0.0,0.0,Leasehold,N7,N7,N79,N79GP,4.434011686461343,1.0,,2022-09-02,96.0
852,20220801.0,750000.0,Great Portland Street Station,0.3,Apartment,1.0,1.0,,0.0,0.0,Leasehold,W1W,W1,W1W6,W1W6HQ,1.6288476256939142,1.0,,2022-09-02,107.0
853,20220517.0,525000.0,Elephant & Castle (Bakerloo) Station,0.1,Flat,1.0,1.0,,0.0,1.0,Leasehold,SE1,SE1,SE16,SE16FJ,2.2644933878019784,0.0,,2022-09-02,70.0
854,20220801.0,750000.0,Victoria Station,0.3,Flat,1.0,1.0,389.0,0.0,0.0,,SW1V,SW1,SW1V2,SW1V2EL,2.0410643869484635,1.0,,2022-09-02,138.0
855,20220630.0,525000.0,Elephant & Castle (Bakerloo) Station,0.1,Flat,1.0,1.0,,0.0,1.0,Leasehold,SE1,SE1,SE16,SE16FJ,2.2644933878019784,0.0,,2022-09-02,70.0
856,20220731.0,600000.0,Upper Holloway Station,0.3,Apartment,2.0,1.0,,1.0,0.0,Leasehold,N19,N19,N194,N194JZ,6.097443693688772,1.0,,2022-09-02,99.0
857,20220731.0,725000.0,Elephant & Castle Station,0.2,Apartment,2.0,2.0,,0.0,1.0,Leasehold,SE1,SE1,SE16,SE16EL,2.556744321006217,0.0,,2022-09-02,70.0
858,20220730.0,590000.0,Nine Elms Station,0.3,Flat,1.0,1.0,,1.0,0.0,,SW11,SW11,SW117,SW117AS,2.940134256269652,0.0,,2022-09-02,128.0
859,20220730.0,465000.0,Kilburn Park Station,0.0,Flat,1.0,1.0,,1.0,0.0,Leasehold,NW6,NW6,NW65,NW65AA,5.506859100332829,1.0,,2022-09-02,65.0
860,20220730.0,800000.0,Royal Oak Station,0.1,Flat,1.0,1.0,,0.0,0.0,Leasehold,W2,W2,W26,W26AL,4.200434896878989,1.0,,2022-09-02,111.0
861,20220730.0,750000.0,Battersea Power Underground Station,0.2,Flat,1.0,1.0,499.0,1.0,0.0,Leasehold,SW11,SW11,SW118,SW118DU,3.002522068608786,0.0,,2022-09-02,185.0
